t[s],z[m],v[m/s],a[m/s^2],Fz[N],P_joule[W]
0.0,1.487,0.0,-9.81,0.0,0.0
0.010000000000000002,1.486461114424906,-0.09789074665377295,-9.758586500298033,0.001028269994039327,0.00012782985513219567
0.02000000000000001,1.4849473610393973,-0.1950044004128194,-9.671761329429987,0.002764773411400275,0.0006043559706298094
0.03000000000000002,1.4824673502147176,-0.29122564321532823,-9.580986622324591,0.004580267553508188,0.0014454060693008264
0.04000000000000003,1.4790302203622396,-0.3865120812435066,-9.48456426125365,0.006508714774927015,0.0026940622673362765
0.05000000000000004,1.474645762992543,-0.48077223712069017,-9.375478671008207,0.008690426579835863,0.004453847772592167
0.060000000000000046,1.4693251636740339,-0.5738214489141663,-9.242682701138603,0.011346345977227943,0.006916221122103648
0.07000000000000005,1.4630821071542919,-0.6653555943601389,-9.074386016997785,0.0147122796600443,0.010337315834303664
0.08000000000000006,1.4559338495802894,-0.7549863956704629,-8.866461392225306,0.01887077215549389,0.014919484435918381
0.09000000000000007,1.4479014325582225,-0.8423674842751787,-8.630509289727271,0.02358981420545459,0.02064242887917433
0.10000000000000007,1.439008404814492,-0.9273437884473851,-8.390082212162403,0.02839835575675196,0.027165666751563056
0.11000000000000008,1.4292785496175942,-1.009995092185072,-8.166591431476421,0.03286817137047158,0.03398096872972522
0.12000000000000009,1.4187338839692742,-1.0905612430253675,-7.971029061503629,0.03677941876992742,0.04082421638321267
0.1300000000000001,1.4073937109092227,-1.169318832964099,-7.8008784211930795,0.04018243157613843,0.04763922726033668
0.1400000000000001,1.3952749181894994,-1.246472729674377,-7.6476282401777045,0.04324743519644592,0.054467526214392166
0.1500000000000001,1.382392726009658,-1.3221637411814877,-7.505964081857542,0.04608071836284919,0.06149593844892909
0.16000000000000011,1.3687612876573856,-1.3964686753041553,-7.3695567270425215,0.04880886545914958,0.06866992885421072
0.17000000000000012,1.354394177443372,-1.4694400524294127,-7.238265701600052,0.051434685967998967,0.07614161484481408
0.18000000000000013,1.3393045357864208,-1.541108373839292,-7.109038607581031,0.0540192278483794,0.083776685065331
0.19000000000000014,1.3235052263735236,-1.6115060359945017,-6.983072096421593,0.05653855807156814,0.09167120323080344
0.20000000000000015,1.3070088452904798,-1.6806519634766823,-6.8593629783243575,0.05901274043351285,0.09977014168204944
0.21000000000000016,1.2898277454329248,-1.748574185084514,-6.737353471637235,0.06145293056725533,0.10799202879726524
0.22000000000000017,1.2719740696795154,-1.815293516359833,-6.618556492790731,0.0638288701441854,0.11647660999929627
0.23000000000000018,1.2534597196000294,-1.8808299765966232,-6.501405823740261,0.06617188352519479,0.12507608254716993
0.24000000000000019,1.2342963826029065,-1.9452086831881765,-6.385989406283182,0.06848021187433637,0.13376056962828148
0.25000000000000017,1.2144955383799163,-2.0084504432099686,-6.273413174978954,0.07073173650042094,0.14264679973907998
0.2600000000000002,1.1940684470444285,-2.0705742615400777,-6.163073741433675,0.07293852517132651,0.15168022824272992
0.2700000000000002,1.1730261574722578,-2.131601566710397,-6.054242510362437,0.07511514979275126,0.16075738171698745
0.2800000000000002,1.1513795175085317,-2.191553974105447,-5.947200434536223,0.07725599130927556,0.16988919338392738
0.2900000000000002,1.1291391754299522,-2.2504513639457255,-5.842401205387738,0.07935197589224527,0.17912993591043097
0.3000000000000002,1.1063155807593257,-2.3083126161203014,-5.739847133132417,0.08140305733735166,0.18848623700922112
0.3100000000000002,1.0829189881263286,-2.36515657897056,-5.6392779441092475,0.08341444111781507,0.19792354390195016
0.32000000000000023,1.0589594620516656,-2.4210021624576434,-5.540487419395922,0.08539025161208157,0.2074067930506932
0.33000000000000024,1.034446881049157,-2.475868047436769,-5.4434074464738185,0.08733185107052364,0.21691831356540128
0.34000000000000025,1.00939094110115,-2.5297724976567753,-5.348046584537554,0.08923906830924892,0.2264535008229558
0.35000000000000026,0.9838011589616948,-2.5827333379321264,-5.254423529630608,0.09111152940738786,0.23601181656000458
0.36000000000000026,0.9576868754922411,-2.6347680000851597,-5.16253973743815,0.09294920525123701,0.24559172394054352
0.3700000000000003,0.9310572590218498,-2.685893568729544,-5.072378352661404,0.09475243294677194,0.25518949528260876
0.3800000000000003,0.9039213086724136,-2.736126806741974,-4.983909263559053,0.09652181472881895,0.2647994149776675
0.3900000000000003,0.8762878576352735,-2.785484161417075,-4.897090757844678,0.09825818484310646,0.2744136802106904
0.4000000000000003,0.8481655763903906,-2.8339817589459853,-4.811866337255701,0.09996267325488599,0.2840215604676896
0.4100000000000003,0.8195629758734202,-2.8816353868903954,-4.728162079505276,0.10163675840989449,0.2936088054419731
0.4200000000000003,0.7904884106152474,-2.928460473837584,-4.645897173116477,0.10328205653767046,0.30315983636889626
0.4300000000000003,0.7609500818537734,-2.9744720978042785,-4.565021988855508,0.10489956022288985,0.3126657591088788
0.44000000000000034,0.7309560405409541,-3.0196850665062636,-4.485576256084028,0.10648847487831946,0.3221369928665221
0.45000000000000034,0.7005141901309238,-3.0641140711878636,-4.407709684713685,0.1080458063057263,0.331607864783893
0.46000000000000035,0.6696322890984312,-3.107773781261321,-4.331567806837904,0.10956864386324193,0.3411115345872414
0.47000000000000036,0.6383179534995708,-3.1506786355341574,-4.25704817456765,0.111059036508647,0.35062535445122733
0.48000000000000037,0.6065786601307662,-3.192842335702158,-4.183709986937547,0.11252580026124907,0.3600504904517464
0.4900000000000004,0.5744217502389318,-3.234277683130382,-4.1112014320725745,0.11397597135854852,0.3693111373918418
0.5000000000000003,0.5418544323561155,-3.2749974651716878,-4.03987966836062,0.11540240663278761,0.3784990310181562
