t[s],z[m],v[m/s],a[m/s^2],Fz[N],P_joule[W]
0.0,1.487,0.0,-9.81,0.0,0.0
0.010000000000000002,1.4864606728789966,-0.09803015238426016,-9.792935112573154,0.00034129774853692706,4.5330190010809504e-05
0.02000000000000001,1.4849423899098835,-0.19580012654407747,-9.76329778777182,0.0009340442445635851,0.0002196118723554464
0.03000000000000002,1.4824481368471043,-0.2932483645986539,-9.728816462329062,0.0016236707534187619,0.0005545762969638925
0.04000000000000003,1.4789814502061893,-0.3903122223309256,-9.686596724369753,0.002468065512604931,0.0011068964014441227
0.05000000000000004,1.4745466783634105,-0.4868947534175856,-9.633171260023206,0.003536574799535896,0.0019542143889732366
0.060000000000000046,1.4691493029328764,-0.582872048425379,-9.56683678692087,0.004863264261582612,0.0031682248166848537
0.07000000000000005,1.4627960582033022,-0.6781240065960038,-9.489949268970946,0.0064010146205810995,0.004768405927333593
0.08000000000000006,1.4554946506107473,-0.7725781330358664,-9.408889036452845,0.008022219270943126,0.006707376196550585
0.09000000000000007,1.4472531432257427,-0.8662274621275812,-9.329384107370133,0.009612317852597339,0.008932485103449019
0.10000000000000007,1.438079465576425,-0.9590931930098415,-9.251557449753717,0.011168851004925656,0.011419493277127686
0.11000000000000008,1.4279814314731087,-1.0511741820644285,-9.172076892807812,0.012758462143843774,0.014158562846986628
0.12000000000000009,1.4169670336946643,-1.1424414565556924,-9.08913174565802,0.014417365086839589,0.0172197606063918
0.1300000000000001,1.4050445719140794,-1.232869633877702,-9.005234301409725,0.016095313971805515,0.020509649434385345
0.1400000000000001,1.3922223639335265,-1.3224803326004073,-8.925813581751246,0.017683728364975105,0.023949038942191577
0.1500000000000001,1.378508288540591,-1.4113291452609498,-8.852360232819938,0.01915279534360123,0.027513175675303925
0.16000000000000011,1.3639096209797654,-1.4994790033949479,-8.785135420611594,0.02049729158776812,0.03117741085082871
0.17000000000000012,1.3484330658190662,-1.5869773848319655,-8.721474007172965,0.0217705198565407,0.03497309440568051
0.18000000000000013,1.3320849596984374,-1.6738553245220824,-8.660341396271415,0.022993172074571723,0.03897418452775611
0.19000000000000014,1.314871417469722,-1.7601271299575814,-8.600334936204607,0.024193301275907873,0.04306220691808631
0.20000000000000015,1.2967984382412292,-1.8458027377619197,-8.54076424212506,0.0253847151574988,0.047396863176675325
0.21000000000000016,1.277871961382032,-1.9308871876827913,-8.481930073579722,0.026561398528405583,0.05190683550852694
0.22000000000000017,1.2580978764441337,-2.0153839283993262,-8.423492794252743,0.027730144114945163,0.05650466166033914
0.23000000000000018,1.237482031037906,-2.099297666749986,-8.365278280287821,0.028894434394243596,0.061286857421818865
0.24000000000000019,1.2160302320210352,-2.1826331027609838,-8.307523704445082,0.030049525911098395,0.06628770482568662
0.25000000000000017,1.1937482413465397,-2.265394561750107,-8.25035570510924,0.031192885897815215,0.07144522564039346
0.2600000000000002,1.1706417737571149,-2.3475865415667334,-8.19371492596062,0.03232570148078761,0.07671756924405751
0.2700000000000002,1.1467164964005416,-2.4292138214166883,-8.137532324979276,0.0334493535004145,0.08210938342022352
0.2800000000000002,1.1219780286931782,-2.510281276154523,-8.081793913471685,0.03456412173056631,0.08763738349167804
0.2900000000000002,1.0964319421796973,-2.590793750406302,-8.02651403830026,0.03566971923399481,0.09330934873401776
0.3000000000000002,1.070083760524408,-2.670756042797685,-7.971706689557604,0.036765866208847926,0.09912468268937079
0.3100000000000002,1.0429389596449208,-2.750172915603759,-7.9173754052063,0.037852491895873995,0.10508081905296951
0.32000000000000023,1.0150029679446912,-2.8290491012049515,-7.863513030239698,0.038929739395206046,0.11117657085645434
0.33000000000000024,0.9862811665826147,-2.907389294569686,-7.810103043662278,0.03999793912675445,0.11740940459348971
0.34000000000000025,0.9567788897771506,-2.9851981427334318,-7.757128058828941,0.0410574388234212,0.12376527019574507
0.35000000000000026,0.9265014251245487,-3.062480255301468,-7.7045942548684625,0.04210811490263075,0.1302080424565622
0.36000000000000026,0.8954540138448629,-3.139240267938638,-7.652557363859624,0.04314885272280753,0.13669743300042655
0.3700000000000003,0.8636418509241619,-3.215482902890203,-7.601084812285185,0.0441783037542963,0.14326035982199867
0.3800000000000003,0.8310700852810243,-3.291212861228946,-7.550117707759442,0.045197645844811174,0.15002430430333819
0.3900000000000003,0.7977438203867661,-3.366434525777414,-7.499458124903601,0.04621083750192798,0.1570186143565153
0.4000000000000003,0.7636681150880404,-3.4411521065698945,-7.449138963484296,0.04721722073031409,0.1639837096979148
0.4100000000000003,0.7288479832263991,-3.515370343864337,-7.399481980492947,0.04821036039014108,0.17087781571329286
0.4200000000000003,0.6932883931849472,-3.589093986637146,-7.3502867647973655,0.04919426470405269,0.17813549340641485
0.4300000000000003,0.6569942699206338,-3.662326858863114,-7.301264770318209,0.05017470459363582,0.18544694504404427
0.44000000000000034,0.6199704948582548,-3.7350735994202675,-7.252963015623467,0.05114073968753066,0.1925756354222893
0.45000000000000034,0.5822219044506641,-3.8073388270123876,-7.204966592688351,0.052100668146233,0.20020976860119868
0.46000000000000035,0.5437532935435121,-3.879126191062761,-7.157341347752022,0.05305317304495957,0.2075212722352456
0.47000000000000036,0.5045694128446425,-3.9504407669741424,-7.110331350466377,0.053993372990672465,0.2152252785053508
0.48000000000000037,0.46467497123798657,-4.021285990445526,-7.063488884515544,0.05493022230968913,0.2227685966275949
0.4900000000000004,0.4240746350384179,-4.091666839620609,-7.017332703944108,0.05585334592111785,0.23060716299269993
0.5000000000000003,0.38277302898901333,-4.161586722344974,-6.971359564936279,0.05677280870127444,0.23823460344959108
0.5100000000000003,0.34077473583908596,-4.231050530182433,-6.925939891369199,0.05768120217261602,0.24633447550768772
0.5200000000000004,0.29808429802510095,-4.300061681663728,-6.8809397785752235,0.058581204428495535,0.25397924569446284
0.5300000000000004,0.25470621602661453,-4.368624682843546,-6.83615238770661,0.05947695224586781,0.2621979703368997
0.5400000000000004,0.21064495107609085,-4.43674352578454,-6.792060198454173,0.06035879603091655,0.2702321692935069
0.5500000000000004,0.16590492435433157,-4.504421588788343,-6.748085022881356,0.06123829954237289,0.2781350567459954
